"Prawn Spawner Index Values, 1995 through 2016",,,,,,
,,,,,,
Date,PFM Area,PFM Subarea,Species,Spawner Index,Sample Season,Sample Type
 1995-03-22,7,9,Pandalus platyceros,0.2,Winter,R
 1995-03-22,7,9,Pandalus platyceros,0.4,Winter,R
 1995-03-22,7,9,Pandalus platyceros,0,Winter,R
 1995-03-23,7,9,Pandalus platyceros,0.2,Winter,R
 1995-03-23,7,9,Pandalus platyceros,3.3,Winter,R
 1995-03-23,7,9,Pandalus platyceros,0,Winter,R
 1995-03-24,7,9,Pandalus platyceros,0.7,Winter,R
 1995-03-24,7,9,Pandalus platyceros,0.3,Winter,R
 1995-03-24,7,9,Pandalus platyceros,2,Winter,R
 1995-03-25,7,9,Pandalus platyceros,0.6,Winter,R
 1995-03-25,7,10,Pandalus platyceros,0.3,Winter,R
 1995-03-25,7,10,Pandalus platyceros,1.9,Winter,R
 1995-03-26,7,7,Pandalus platyceros,0.6,Winter,R
 1995-03-26,7,10,Pandalus platyceros,0,Winter,R
 1995-03-26,7,10,Pandalus platyceros,2.2,Winter,R
 1995-03-27,7,11,Pandalus platyceros,0,Winter,R
 1995-03-27,7,11,Pandalus platyceros,0.6,Winter,R
 1995-03-27,7,11,Pandalus platyceros,0.2,Winter,R
 1995-03-28,7,7,Pandalus platyceros,1.4,Winter,R
 1995-03-28,7,7,Pandalus platyceros,0.1,Winter,R
 1995-03-28,7,11,Pandalus platyceros,4.7,Winter,R
 1995-03-29,28,1,Pandalus platyceros,10.6,Winter,R
 1995-03-29,28,1,Pandalus platyceros,2.5,Winter,R
 1995-03-29,28,3,Pandalus platyceros,2.3,Winter,R
 1995-03-29,28,3,Pandalus platyceros,21,Winter,R
 1995-03-29,28,3,Pandalus platyceros,2,Winter,R
 1995-03-30,28,4,Pandalus platyceros,18.2,Winter,R
 1995-03-30,28,5,Pandalus platyceros,16.4,Winter,R
 1995-03-30,28,5,Pandalus platyceros,0.2,Winter,R
 1995-03-30,28,5,Pandalus platyceros,4.3,Winter,R
 1995-03-30,28,5,Pandalus platyceros,6.6,Winter,R
 1995-03-31,28,3,Pandalus platyceros,11.9,Winter,R
 1995-03-31,28,3,Pandalus platyceros,4.4,Winter,R
 1995-03-31,28,3,Pandalus platyceros,1.9,Winter,R
 1995-03-31,28,4,Pandalus platyceros,2.6,Winter,R
 1995-03-31,28,4,Pandalus platyceros,30.7,Winter,R
 1995-05-13,7,15,Pandalus platyceros,2.7,Spring,C
 1995-05-13,7,15,Pandalus platyceros,6.2,Spring,C
 1995-05-13,7,15,Pandalus platyceros,7,Spring,C
 1995-05-13,7,15,Pandalus platyceros,2.5,Spring,C
 1995-05-14,6,1,Pandalus platyceros,6.7,Spring,C
 1995-05-14,6,1,Pandalus platyceros,1,Spring,C
 1995-05-15,6,3,Pandalus platyceros,7,Spring,C
 1995-05-15,6,3,Pandalus platyceros,25.6,Spring,C
 1995-05-30,6,5,Pandalus platyceros,6.8,Spring,C
 1995-05-30,6,5,Pandalus platyceros,8.2,Spring,C
 1995-05-30,6,5,Pandalus platyceros,3.6,Spring,C
 1995-05-30,6,5,Pandalus platyceros,13.9,Spring,C
 1995-05-31,6,28,Pandalus platyceros,12.5,Spring,C
 1995-05-31,6,28,Pandalus platyceros,5.5,Spring,C
 1995-06-02,7,29,Pandalus platyceros,6.3,Spring,C
 1995-06-02,7,29,Pandalus platyceros,5.3,Spring,C
 1995-06-03,7,7,Pandalus platyceros,6.8,Spring,C
 1995-06-03,7,7,Pandalus platyceros,1.8,Spring,C
 1995-06-03,7,7,Pandalus platyceros,2.4,Spring,C
 1995-06-05,7,13,Pandalus platyceros,4.7,Spring,C
 1995-06-05,7,13,Pandalus platyceros,4.4,Spring,C
 1995-06-10,7,15,Pandalus platyceros,1.8,Spring,C
 1995-06-10,7,15,Pandalus platyceros,3.4,Spring,C
 1995-06-11,7,14,Pandalus platyceros,3.9,Spring,C
 1995-06-11,7,14,Pandalus platyceros,2.6,Spring,C
 1995-06-13,7,15,Pandalus platyceros,1.4,Spring,C
 1995-06-13,7,15,Pandalus platyceros,2,Spring,C
 1995-06-13,7,15,Pandalus platyceros,2.5,Spring,C
 1995-06-13,7,15,Pandalus platyceros,1.2,Spring,C
 1995-06-13,7,15,Pandalus platyceros,3.9,Spring,C
 1995-06-13,7,15,Pandalus platyceros,1,Spring,C
 1995-06-14,7,14,Pandalus platyceros,1.4,Spring,C
 1995-06-14,7,14,Pandalus platyceros,3.1,Spring,C
 1995-06-14,7,14,Pandalus platyceros,1.9,Spring,C
 1995-06-14,7,14,Pandalus platyceros,1.9,Spring,C
 1995-06-14,7,14,Pandalus platyceros,6.1,Spring,C
 1995-06-14,7,14,Pandalus platyceros,2.4,Spring,C
 1995-06-20,16,11,Pandalus platyceros,1.1,Spring,C
 1995-06-20,16,12,Pandalus platyceros,3.9,Spring,C
 1995-06-20,16,12,Pandalus platyceros,2.2,Spring,C
 1995-06-21,16,17,Pandalus platyceros,6.6,Spring,C
 1995-06-21,16,17,Pandalus platyceros,4.4,Spring,C
 1995-06-21,16,17,Pandalus platyceros,4.1,Spring,C
 1995-06-21,16,17,Pandalus platyceros,8,Spring,C
 1995-06-22,16,13,Pandalus platyceros,3.5,Spring,C
 1995-06-22,16,13,Pandalus platyceros,4.1,Spring,C
 1995-06-22,16,13,Pandalus platyceros,4.2,Spring,C
 1995-06-22,16,13,Pandalus platyceros,2.6,Spring,C
 1995-06-22,16,13,Pandalus platyceros,2.6,Spring,C
 1995-06-22,16,13,Pandalus platyceros,6.6,Spring,C
 1995-06-23,15,1,Pandalus platyceros,5.2,Spring,C
 1995-06-23,16,11,Pandalus platyceros,2.6,Spring,C
 1995-06-23,16,11,Pandalus platyceros,3.6,Spring,C
 1995-06-23,16,16,Pandalus platyceros,1.3,Spring,C
 1995-06-23,16,16,Pandalus platyceros,3.2,Spring,C
 1995-06-23,16,18,Pandalus platyceros,3.1,Spring,C
 1995-06-27,15,2,Pandalus platyceros,1.3,Spring,C
 1995-06-27,15,5,Pandalus platyceros,5.7,Spring,C
 1995-06-27,15,5,Pandalus platyceros,4,Spring,C
 1995-06-27,15,5,Pandalus platyceros,6.2,Spring,C
 1995-06-27,15,5,Pandalus platyceros,10.7,Spring,C
 1995-06-28,15,3,Pandalus platyceros,12.9,Spring,C
 1995-06-28,15,3,Pandalus platyceros,8.7,Spring,C
 1995-06-28,15,3,Pandalus platyceros,3.5,Spring,C
 1995-06-28,15,5,Pandalus platyceros,6,Spring,C
 1995-06-28,15,5,Pandalus platyceros,5.6,Spring,C
 1995-06-28,15,5,Pandalus platyceros,16.3,Spring,C
 1995-06-29,15,2,Pandalus platyceros,4.8,Spring,C
 1995-06-29,15,2,Pandalus platyceros,5.5,Spring,C
 1995-06-29,15,2,Pandalus platyceros,12.6,Spring,C
 1995-06-29,15,2,Pandalus platyceros,13.8,Spring,C
 1995-06-29,15,2,Pandalus platyceros,8.7,Spring,C
 1995-06-29,15,2,Pandalus platyceros,7.8,Spring,C
 1995-06-29,15,3,Pandalus platyceros,3.9,Spring,C
 1995-06-29,15,3,Pandalus platyceros,2.5,Spring,C
 1995-06-30,15,3,Pandalus platyceros,9.2,Spring,C
 1995-07-19,16,19,Pandalus platyceros,1.7,Summer,C
 1995-07-20,16,19,Pandalus platyceros,2,Summer,C
 1995-07-20,16,20,Pandalus platyceros,0.9,Summer,C
 1995-07-20,16,21,Pandalus platyceros,3.6,Summer,C
 1995-07-20,16,21,Pandalus platyceros,4.5,Summer,C
 1995-07-25,15,2,Pandalus platyceros,13,Summer,C
 1995-07-25,15,2,Pandalus platyceros,19.3,Summer,C
 1995-07-25,15,3,Pandalus platyceros,1.6,Summer,C
 1995-07-25,15,3,Pandalus platyceros,1.7,Summer,C
 1995-07-25,15,3,Pandalus platyceros,3.6,Summer,C
 1995-07-26,15,6,Pandalus platyceros,10.5,Summer,C
 1995-07-26,15,6,Pandalus platyceros,8.1,Summer,C
 1995-07-26,15,6,Pandalus platyceros,7.4,Summer,C
 1995-07-27,15,3,Pandalus platyceros,4.5,Summer,C
 1995-07-27,15,3,Pandalus platyceros,9.9,Summer,C
 1995-07-27,15,4,Pandalus platyceros,2.5,Summer,C
 1995-07-27,15,5,Pandalus platyceros,15.9,Summer,C
 1995-07-27,15,5,Pandalus platyceros,2.2,Summer,C
 1995-07-27,15,5,Pandalus platyceros,3.3,Summer,C
 1995-07-27,15,5,Pandalus platyceros,2.9,Summer,C
 1995-07-27,15,5,Pandalus platyceros,3.7,Summer,C
 1995-07-27,15,5,Pandalus platyceros,22.5,Summer,C
 1995-07-27,15,5,Pandalus platyceros,11.2,Summer,C
 1995-07-27,15,5,Pandalus platyceros,4.9,Summer,C
 1995-07-27,15,5,Pandalus platyceros,2,Summer,C
 1995-08-09,15,1,Pandalus platyceros,1.6,Summer,C
 1995-08-09,15,1,Pandalus platyceros,2.5,Summer,C
 1995-08-09,15,1,Pandalus platyceros,4.1,Summer,C
 1995-08-09,15,1,Pandalus platyceros,1,Summer,C
 1995-08-09,15,1,Pandalus platyceros,2.7,Summer,C
 1995-08-09,15,1,Pandalus platyceros,1.5,Summer,C
 1995-08-09,23,2,Pandalus platyceros,4.6,Summer,C
 1995-08-09,23,2,Pandalus platyceros,2.7,Summer,C
 1995-08-09,23,3,Pandalus platyceros,2.7,Summer,C
 1995-08-09,23,3,Pandalus platyceros,4.7,Summer,C
 1995-08-09,23,4,Pandalus platyceros,0.6,Summer,C
 1995-08-09,23,5,Pandalus platyceros,1.5,Summer,C
 1995-08-09,23,6,Pandalus platyceros,0.5,Summer,C
 1995-08-09,23,8,Pandalus platyceros,0.2,Summer,C
 1995-08-10,15,2,Pandalus platyceros,8.1,Summer,C
 1995-08-10,15,2,Pandalus platyceros,8.2,Summer,C
 1995-08-10,15,2,Pandalus platyceros,8.4,Summer,C
 1995-08-10,15,2,Pandalus platyceros,4.1,Summer,C
 1995-08-10,15,2,Pandalus platyceros,7.7,Summer,C
 1995-08-10,23,1,Pandalus platyceros,6.1,Summer,C
 1995-08-10,23,1,Pandalus platyceros,4.5,Summer,C
 1995-08-10,23,1,Pandalus platyceros,5,Summer,C
 1995-08-10,23,2,Pandalus platyceros,5.8,Summer,C
 1995-08-10,23,2,Pandalus platyceros,2.7,Summer,C
 1995-08-11,15,1,Pandalus platyceros,0.9,Summer,C
 1995-08-11,15,1,Pandalus platyceros,3,Summer,C
 1995-08-11,15,2,Pandalus platyceros,6.3,Summer,C
 1995-08-11,15,2,Pandalus platyceros,2.1,Summer,C
 1995-08-11,15,2,Pandalus platyceros,9.3,Summer,C
 1995-08-16,17,10,Pandalus platyceros,1.7,Summer,C
 1995-08-16,17,10,Pandalus platyceros,6.5,Summer,C
 1995-08-16,17,10,Pandalus platyceros,2.4,Summer,C
 1995-08-16,17,11,Pandalus platyceros,0.7,Summer,C
 1995-08-16,17,11,Pandalus platyceros,0.7,Summer,C
 1995-08-16,17,12,Pandalus platyceros,1.6,Summer,C
 1995-08-18,17,12,Pandalus platyceros,7.3,Summer,C
 1995-08-18,17,12,Pandalus platyceros,11.4,Summer,C
 1995-08-21,26,9,Pandalus platyceros,0.2,Summer,C
 1995-08-21,26,9,Pandalus platyceros,0.6,Summer,C
 1995-08-21,26,9,Pandalus platyceros,0,Summer,C
 1995-08-24,9,4,Pandalus platyceros,1.8,Summer,C
 1995-08-24,9,4,Pandalus platyceros,0.7,Summer,C
 1995-08-24,9,4,Pandalus platyceros,0.3,Summer,C
 1995-08-24,9,4,Pandalus platyceros,0.3,Summer,C
 1995-08-24,9,4,Pandalus platyceros,0.2,Summer,C
 1995-08-24,9,11,Pandalus platyceros,2.3,Summer,C
 1995-08-25,9,12,Pandalus platyceros,3,Summer,C
 1995-08-25,9,12,Pandalus platyceros,3.8,Summer,C
 1995-08-25,9,12,Pandalus platyceros,2,Summer,C
 1995-08-25,9,12,Pandalus platyceros,1.1,Summer,C
 1995-08-25,9,12,Pandalus platyceros,1.3,Summer,C
 1995-08-26,9,6,Pandalus platyceros,0.6,Summer,C
 1995-08-26,9,6,Pandalus platyceros,0.1,Summer,C
 1995-08-26,9,6,Pandalus platyceros,0.9,Summer,C
 1995-08-26,9,6,Pandalus platyceros,0.8,Summer,C
 1995-08-27,10,4,Pandalus platyceros,2,Summer,C
 1995-08-27,10,4,Pandalus platyceros,0.6,Summer,C
 1995-08-27,10,4,Pandalus platyceros,1.3,Summer,C
 1995-08-27,10,7,Pandalus platyceros,0.4,Summer,C
 1995-08-27,10,7,Pandalus platyceros,1.2,Summer,C
 1995-08-27,10,7,Pandalus platyceros,0.3,Summer,C
 1995-08-27,10,7,Pandalus platyceros,0.7,Summer,C
 1995-08-30,5,23,Pandalus platyceros,1.1,Summer,C
 1995-08-30,5,23,Pandalus platyceros,1.4,Summer,C
 1995-08-30,5,23,Pandalus platyceros,10.2,Summer,C
 1995-09-02,14,3,Pandalus platyceros,1.9,Summer,C
 1995-09-02,14,3,Pandalus platyceros,0.8,Summer,C
 1995-09-02,14,3,Pandalus platyceros,0.4,Summer,C
 1995-09-02,14,3,Pandalus platyceros,2.2,Summer,C
 1995-09-04,6,1,Pandalus platyceros,1.8,Summer,C
 1995-09-04,6,1,Pandalus platyceros,0.8,Summer,C
 1995-09-04,6,4,Pandalus platyceros,2.8,Summer,C
 1995-09-04,6,4,Pandalus platyceros,4.1,Summer,C
 1995-09-04,26,2,Pandalus platyceros,0.7,Summer,C
 1995-09-04,26,5,Pandalus platyceros,0.3,Summer,C
 1995-09-04,26,5,Pandalus platyceros,0,Summer,C
 1995-09-04,26,5,Pandalus platyceros,4.2,Summer,C
 1995-09-07,27,8,Pandalus platyceros,0.6,Summer,C
 1995-09-07,27,8,Pandalus platyceros,1.3,Summer,C
 1995-09-07,27,8,Pandalus platyceros,0.3,Summer,C
 1995-09-07,27,8,Pandalus platyceros,1,Summer,C
 1995-09-07,27,8,Pandalus platyceros,1.7,Summer,C
 1995-09-08,15,2,Pandalus platyceros,3.2,Summer,C
 1995-09-08,15,2,Pandalus platyceros,2.6,Summer,C
 1995-09-08,15,2,Pandalus platyceros,2.3,Summer,C
 1995-09-08,15,2,Pandalus platyceros,3.7,Summer,C
 1995-09-08,27,7,Pandalus platyceros,0.4,Summer,C
 1995-09-08,27,7,Pandalus platyceros,0.2,Summer,C
 1995-09-08,27,11,Pandalus platyceros,1.5,Summer,C
 1995-09-08,27,11,Pandalus platyceros,3.1,Summer,C
 1995-09-08,27,11,Pandalus platyceros,0.4,Summer,C
 1995-09-09,15,2,Pandalus platyceros,0,Summer,C
 1995-09-09,15,2,Pandalus platyceros,0.4,Summer,C
 1995-09-09,15,5,Pandalus platyceros,1.8,Summer,C
 1995-09-09,15,5,Pandalus platyceros,3,Summer,C
 1995-09-09,15,5,Pandalus platyceros,0.4,Summer,C
 1995-09-12,17,10,Pandalus platyceros,0.3,Summer,C
 1995-09-12,17,10,Pandalus platyceros,0.2,Summer,C
 1995-09-12,17,10,Pandalus platyceros,1.3,Summer,C
 1995-09-12,29,5,Pandalus platyceros,0.5,Summer,C
 1995-09-12,29,5,Pandalus platyceros,0.4,Summer,C
 1995-09-12,29,5,Pandalus platyceros,0.2,Summer,C
 1995-09-13,17,11,Pandalus platyceros,1.3,Summer,C
 1995-09-13,17,11,Pandalus platyceros,0,Summer,C
 1995-09-13,17,11,Pandalus platyceros,0.6,Summer,C
 1995-09-13,17,12,Pandalus platyceros,2.3,Summer,C
 1995-09-20,19,8,Pandalus platyceros,3.3,Summer,C
 1995-09-20,19,8,Pandalus platyceros,4.4,Summer,C
 1995-09-20,19,8,Pandalus platyceros,10.9,Summer,C
 1995-09-20,19,8,Pandalus platyceros,1,Summer,C
 1995-09-20,19,8,Pandalus platyceros,4.3,Summer,C
 1995-09-21,19,7,Pandalus platyceros,2,Summer,C
 1995-09-21,19,7,Pandalus platyceros,5.7,Summer,C
 1995-09-21,19,7,Pandalus platyceros,2.7,Summer,C
 1995-09-21,19,8,Pandalus platyceros,1.6,Summer,C
 1995-09-21,19,8,Pandalus platyceros,2.7,Summer,C
 1995-09-21,19,8,Pandalus platyceros,5,Summer,C
 1995-09-21,19,8,Pandalus platyceros,0.6,Summer,C
 1995-09-22,6,25,Pandalus platyceros,1.1,Summer,C
 1995-09-22,6,25,Pandalus platyceros,1.7,Summer,C
 1995-09-22,6,25,Pandalus platyceros,1.1,Summer,C
 1995-09-22,19,7,Pandalus platyceros,9.7,Summer,C
 1995-09-22,19,7,Pandalus platyceros,1.8,Summer,C
 1995-09-22,19,8,Pandalus platyceros,7.8,Summer,C
 1995-09-23,6,5,Pandalus platyceros,3.2,Summer,C
 1995-09-23,6,5,Pandalus platyceros,3,Summer,C
 1995-09-23,6,6,Pandalus platyceros,1.4,Summer,C
 1995-09-23,6,6,Pandalus platyceros,2.3,Summer,C
 1995-09-23,6,6,Pandalus platyceros,2.2,Summer,C
 1995-09-23,6,6,Pandalus platyceros,1.4,Summer,C
 1995-09-23,6,6,Pandalus platyceros,2.1,Summer,C
 1995-09-23,6,6,Pandalus platyceros,1.1,Summer,C
 1995-09-23,6,26,Pandalus platyceros,2.8,Summer,C
 1995-09-26,16,6,Pandalus platyceros,3,Summer,C
 1995-09-26,16,6,Pandalus platyceros,5.5,Summer,C
 1995-09-26,16,6,Pandalus platyceros,0.6,Summer,C
 1995-09-26,16,7,Pandalus platyceros,2.7,Summer,C
 1995-09-26,16,7,Pandalus platyceros,8.3,Summer,C
 1995-09-27,16,5,Pandalus platyceros,5.1,Summer,C
 1995-09-27,16,6,Pandalus platyceros,2.5,Summer,C
 1995-09-27,16,6,Pandalus platyceros,1.5,Summer,C
 1995-09-27,16,7,Pandalus platyceros,8,Summer,C
 1995-09-27,16,7,Pandalus platyceros,2.3,Summer,C
 1995-09-27,16,7,Pandalus platyceros,32.9,Summer,C
 1995-09-27,16,7,Pandalus platyceros,7.9,Summer,C
 1995-09-28,16,6,Pandalus platyceros,7,Summer,C
 1995-09-28,16,6,Pandalus platyceros,8.8,Summer,C
 1995-09-28,16,6,Pandalus platyceros,2.6,Summer,C
 1995-09-28,16,6,Pandalus platyceros,1.9,Summer,C
 1995-09-28,16,6,Pandalus platyceros,3.5,Summer,C
 1995-09-28,16,6,Pandalus platyceros,2.2,Summer,C
 1995-09-28,16,6,Pandalus platyceros,11,Summer,C
 1995-10-02,13,22,Pandalus platyceros,0,Fall,C
 1995-10-02,13,22,Pandalus platyceros,0.7,Fall,C
 1995-10-03,13,22,Pandalus platyceros,0.7,Fall,C
 1995-10-03,13,22,Pandalus platyceros,2,Fall,C
 1995-10-03,16,7,Pandalus platyceros,3.8,Fall,C
 1995-10-03,16,7,Pandalus platyceros,8.4,Fall,C
 1995-10-03,16,7,Pandalus platyceros,5.8,Fall,C
 1995-10-03,19,8,Pandalus platyceros,3.7,Fall,C
 1995-10-03,19,8,Pandalus platyceros,2.2,Fall,C
 1995-10-03,19,8,Pandalus platyceros,1.4,Fall,C
 1995-10-04,13,21,Pandalus platyceros,1.2,Fall,C
 1995-10-04,13,21,Pandalus platyceros,2.2,Fall,C
 1995-10-04,13,21,Pandalus platyceros,2.1,Fall,C
 1995-10-04,16,5,Pandalus platyceros,8.9,Fall,C
 1995-10-04,16,6,Pandalus platyceros,11.2,Fall,C
 1995-10-04,16,6,Pandalus platyceros,8.5,Fall,C
 1995-10-04,16,6,Pandalus platyceros,4.7,Fall,C
 1995-10-04,16,6,Pandalus platyceros,1.4,Fall,C
 1995-10-04,19,7,Pandalus platyceros,2.9,Fall,C
 1995-10-04,19,7,Pandalus platyceros,2.5,Fall,C
 1995-10-04,19,8,Pandalus platyceros,1.2,Fall,C
 1995-10-04,19,8,Pandalus platyceros,1.1,Fall,C
 1995-10-04,19,8,Pandalus platyceros,6,Fall,C
 1995-10-04,19,8,Pandalus platyceros,2.2,Fall,C
 1995-10-04,19,8,Pandalus platyceros,4.2,Fall,C
 1995-10-05,16,6,Pandalus platyceros,13.3,Fall,C
 1995-10-05,16,6,Pandalus platyceros,3.6,Fall,C
 1995-10-05,16,6,Pandalus platyceros,1.4,Fall,C
 1995-10-05,16,7,Pandalus platyceros,4.8,Fall,C
 1995-10-05,16,8,Pandalus platyceros,4.1,Fall,C
 1995-10-06,13,43,Pandalus platyceros,1.4,Fall,C
 1995-10-06,13,43,Pandalus platyceros,0,Fall,C
 1995-10-07,13,42,Pandalus platyceros,0.8,Fall,C
 1995-10-07,13,42,Pandalus platyceros,1,Fall,C
 1995-10-07,13,42,Pandalus platyceros,0.1,Fall,C
 1995-10-09,3,6,Pandalus platyceros,2.7,Fall,C
 1995-10-09,3,6,Pandalus platyceros,0.3,Fall,C
 1995-10-09,3,6,Pandalus platyceros,3.8,Fall,C
 1995-10-10,3,6,Pandalus platyceros,3.8,Fall,C
 1995-10-10,3,6,Pandalus platyceros,3.9,Fall,C
 1995-10-11,12,6,Pandalus platyceros,19.2,Fall,C
 1995-10-11,12,6,Pandalus platyceros,7,Fall,C
 1995-10-11,12,6,Pandalus platyceros,3.6,Fall,C
 1995-10-11,12,6,Pandalus platyceros,13.4,Fall,C
 1995-10-11,12,7,Pandalus platyceros,9.5,Fall,C
 1995-10-11,12,7,Pandalus platyceros,8.6,Fall,C
 1995-10-11,12,7,Pandalus platyceros,13,Fall,C
 1995-10-11,12,7,Pandalus platyceros,6,Fall,C
 1995-10-11,12,7,Pandalus platyceros,3.9,Fall,C
 1995-10-12,16,6,Pandalus platyceros,0.4,Fall,C
 1995-10-12,16,6,Pandalus platyceros,2.8,Fall,C
 1995-10-12,16,6,Pandalus platyceros,3.9,Fall,C
 1995-10-12,16,6,Pandalus platyceros,4.3,Fall,C
 1995-10-12,16,6,Pandalus platyceros,1.2,Fall,C
 1995-10-12,16,7,Pandalus platyceros,7.4,Fall,C
 1995-10-12,16,7,Pandalus platyceros,4.9,Fall,C
 1995-10-12,16,7,Pandalus platyceros,4.2,Fall,C
 1995-10-12,16,7,Pandalus platyceros,5.5,Fall,C
 1995-10-12,16,7,Pandalus platyceros,4.6,Fall,C
 1995-10-13,16,7,Pandalus platyceros,6.5,Fall,C
 1995-10-13,16,7,Pandalus platyceros,0.7,Fall,C
 1995-10-13,16,7,Pandalus platyceros,5.4,Fall,C
 1995-10-14,13,19,Pandalus platyceros,8.2,Fall,C
 1995-10-14,13,25,Pandalus platyceros,0.3,Fall,C
 1995-10-14,13,25,Pandalus platyceros,1.8,Fall,C
 1995-10-15,13,20,Pandalus platyceros,2.9,Fall,C
 1995-10-15,13,20,Pandalus platyceros,0.5,Fall,C
 1995-10-15,13,20,Pandalus platyceros,1.2,Fall,C
 1995-10-15,13,20,Pandalus platyceros,0.7,Fall,C
 1995-10-18,7,9,Pandalus platyceros,2.2,Fall,R
 1995-10-18,7,9,Pandalus platyceros,2.2,Fall,R
 1995-10-18,11,10,Pandalus platyceros,6.9,Fall,C
 1995-10-18,11,10,Pandalus platyceros,1.9,Fall,C
 1995-10-18,11,10,Pandalus platyceros,6.2,Fall,C
 1995-10-19,7,9,Pandalus platyceros,0,Fall,R
 1995-10-19,7,9,Pandalus platyceros,0,Fall,R
 1995-10-21,4,8,Pandalus platyceros,0,Fall,C
 1995-10-24,28,1,Pandalus platyceros,7.8,Fall,R
 1995-10-24,28,1,Pandalus platyceros,15.1,Fall,R
 1995-10-24,28,1,Pandalus platyceros,0.4,Fall,R
 1995-10-24,28,1,Pandalus platyceros,8.6,Fall,R
 1995-10-24,28,1,Pandalus platyceros,3.2,Fall,R
 1995-10-25,4,9,Pandalus platyceros,1.2,Fall,C
 1995-10-25,28,1,Pandalus platyceros,6,Fall,E
 1995-10-25,28,2,Pandalus platyceros,6.4,Fall,R
 1995-10-25,28,3,Pandalus platyceros,4.6,Fall,R
 1995-10-25,28,3,Pandalus platyceros,8.9,Fall,R
 1995-10-25,28,3,Pandalus platyceros,7,Fall,R
 1995-10-25,28,3,Pandalus platyceros,5.8,Fall,R
 1995-10-26,28,2,Pandalus platyceros,2.9,Fall,R
 1995-10-26,28,3,Pandalus platyceros,3,Fall,R
 1995-10-26,28,3,Pandalus platyceros,16.6,Fall,R
 1995-10-26,28,3,Pandalus platyceros,8.7,Fall,E
 1995-10-26,28,4,Pandalus platyceros,8.4,Fall,R
 1995-10-26,28,4,Pandalus platyceros,6.4,Fall,R
 1995-10-27,28,4,Pandalus platyceros,3.4,Fall,R
 1995-10-27,28,4,Pandalus platyceros,9,Fall,R
 1995-10-27,28,5,Pandalus platyceros,3.6,Fall,R
 1995-10-27,28,5,Pandalus platyceros,0.6,Fall,R
 1995-10-27,28,5,Pandalus platyceros,3.5,Fall,R
 1995-10-27,28,5,Pandalus platyceros,2,Fall,R
 1995-10-28,28,2,Pandalus platyceros,1.7,Fall,R
 1995-10-28,28,2,Pandalus platyceros,0.2,Fall,R
 1995-10-28,28,2,Pandalus platyceros,4.2,Fall,R
 1995-10-28,28,2,Pandalus platyceros,4.1,Fall,E
 1995-10-28,28,2,Pandalus platyceros,8,Fall,R
 1995-10-28,28,4,Pandalus platyceros,3.8,Fall,R
 1995-10-29,6,25,Pandalus platyceros,0.3,Fall,R
 1995-10-29,6,25,Pandalus platyceros,3.7,Fall,R
 1995-10-29,6,25,Pandalus platyceros,0.3,Fall,R
 1995-10-29,28,1,Pandalus platyceros,4,Fall,E
 1995-10-29,28,1,Pandalus platyceros,8.4,Fall,R
 1995-10-29,28,1,Pandalus platyceros,0.4,Fall,R
 1995-10-29,28,1,Pandalus platyceros,2.6,Fall,R
 1995-10-29,28,3,Pandalus platyceros,3.6,Fall,R
 1995-10-29,28,3,Pandalus platyceros,2.1,Fall,R
 1995-10-30,6,18,Pandalus platyceros,0.6,Fall,R
 1995-10-30,6,18,Pandalus platyceros,2.2,Fall,R
 1995-10-30,6,18,Pandalus platyceros,3.8,Fall,R
 1995-10-30,28,2,Pandalus platyceros,0.8,Fall,R
 1995-10-30,28,2,Pandalus platyceros,6.2,Fall,R
 1995-10-30,28,2,Pandalus platyceros,2.1,Fall,R
 1995-10-30,28,2,Pandalus platyceros,1.6,Fall,R
 1995-10-31,6,19,Pandalus platyceros,0,Fall,R
 1995-10-31,6,19,Pandalus platyceros,1.4,Fall,R
 1995-10-31,6,19,Pandalus platyceros,1,Fall,R
 1995-10-31,28,1,Pandalus platyceros,11.4,Fall,R
 1995-10-31,28,2,Pandalus platyceros,5.2,Fall,R
 1995-10-31,28,2,Pandalus platyceros,1.1,Fall,R
 1995-10-31,28,2,Pandalus platyceros,6.2,Fall,R
 1995-11-01,6,19,Pandalus platyceros,1.7,Fall,R
 1995-11-01,6,19,Pandalus platyceros,1.8,Fall,R
 1995-11-01,6,19,Pandalus platyceros,0.1,Fall,R
 1995-11-05,7,6,Pandalus platyceros,3.8,Fall,R
 1995-11-05,7,9,Pandalus platyceros,0,Fall,R
 1995-11-05,7,29,Pandalus platyceros,5,Fall,R
 1995-11-15,19,7,Pandalus platyceros,6,Fall,R
 1995-11-15,19,7,Pandalus platyceros,3.8,Fall,R
 1995-11-15,19,8,Pandalus platyceros,0,Fall,E
 1995-11-15,19,8,Pandalus platyceros,2.4,Fall,R
 1995-11-15,19,8,Pandalus platyceros,2,Fall,E
 1995-11-15,19,8,Pandalus platyceros,3.6,Fall,E
 1995-11-17,19,7,Pandalus platyceros,3.9,Fall,R
 1995-11-17,19,7,Pandalus platyceros,4,Fall,R
 1995-11-17,19,8,Pandalus platyceros,0.6,Fall,R
 1995-11-17,19,8,Pandalus platyceros,0,Fall,E
 1995-11-17,19,8,Pandalus platyceros,2,Fall,E
 1995-11-18,7,9,Pandalus platyceros,0,Fall,R
 1995-11-18,7,9,Pandalus platyceros,3.4,Fall,R
 1995-11-18,7,9,Pandalus platyceros,4.9,Fall,R
